model,resolution,category,gmacs,pct_of_total
deit3_small_patch16_224,64,attention_proj,0.0301,8.21
deit3_small_patch16_224,64,patch_embed,0.0047,1.29
deit3_small_patch16_224,64,norm,0.0008,0.22
deit3_small_patch16_224,64,other,0.0000,0.00
deit3_small_patch16_224,64,attention_other,0.0000,0.00
deit3_small_patch16_224,64,head,0.0000,0.00
deit3_small_patch16_224,96,ffn_mlp,0.5238,65.63
deit3_small_patch16_224,96,attention_qkv,0.1964,24.61
deit3_small_patch16_224,96,attention_proj,0.0655,8.20
deit3_small_patch16_224,96,patch_embed,0.0106,1.33
deit3_small_patch16_224,96,norm,0.0018,0.22
deit3_small_patch16_224,96,other,0.0000,0.00
deit3_small_patch16_224,96,attention_other,0.0000,0.00
deit3_small_patch16_224,96,head,0.0000,0.00
deit3_small_patch16_224,128,ffn_mlp,0.9201,65.62
deit3_small_patch16_224,128,attention_qkv,0.3450,24.61
deit3_small_patch16_224,128,attention_proj,0.1150,8.20
deit3_small_patch16_224,128,patch_embed,0.0189,1.35
deit3_small_patch16_224,128,norm,0.0031,0.22
deit3_small_patch16_224,128,other,0.0000,0.00
deit3_small_patch16_224,128,attention_other,0.0000,0.00
deit3_small_patch16_224,128,head,0.0000,0.00
deit3_small_patch16_224,160,ffn_mlp,1.4297,65.62
deit3_small_patch16_224,160,attention_qkv,0.5362,24.61
deit3_small_patch16_224,160,attention_proj,0.1787,8.20
deit3_small_patch16_224,160,patch_embed,0.0295,1.35
deit3_small_patch16_224,160,norm,0.0048,0.22
deit3_small_patch16_224,160,other,0.0000,0.00
deit3_small_patch16_224,160,attention_other,0.0000,0.00
deit3_small_patch16_224,160,head,0.0000,0.00
deit3_small_patch16_224,224,ffn_mlp,2.7887,65.61
deit3_small_patch16_224,224,attention_qkv,1.0458,24.60
deit3_small_patch16_224,224,attention_proj,0.3486,8.20
deit3_small_patch16_224,224,patch_embed,0.0578,1.36
deit3_small_patch16_224,224,norm,0.0095,0.22
deit3_small_patch16_224,224,other,0.0000,0.00
deit3_small_patch16_224,224,attention_other,0.0000,0.00
deit3_small_patch16_224,224,head,0.0000,0.00
deit3_small_patch16_224,256,ffn_mlp,3.6380,65.61
deit3_small_patch16_224,256,attention_qkv,1.3643,24.60
deit3_small_patch16_224,256,attention_proj,0.4548,8.20
deit3_small_patch16_224,256,patch_embed,0.0755,1.36
deit3_small_patch16_224,256,norm,0.0123,0.22
deit3_small_patch16_224,256,other,0.0000,0.00
deit3_small_patch16_224,256,attention_other,0.0000,0.00
deit3_small_patch16_224,256,head,0.0000,0.00
deit3_small_patch16_224,384,ffn_mlp,8.1679,65.61
deit3_small_patch16_224,384,attention_qkv,3.0630,24.60
deit3_small_patch16_224,384,attention_proj,1.0210,8.20
deit3_small_patch16_224,384,patch_embed,0.1699,1.36
deit3_small_patch16_224,384,norm,0.0277,0.22
deit3_small_patch16_224,384,other,0.0000,0.00
deit3_small_patch16_224,384,attention_other,0.0000,0.00
deit3_small_patch16_224,384,head,0.0000,0.00
deit3_small_patch16_224,512,ffn_mlp,14.5097,65.61
deit3_small_patch16_224,512,attention_qkv,5.4411,24.60
deit3_small_patch16_224,512,attention_proj,1.8137,8.20
deit3_small_patch16_224,512,patch_embed,0.3020,1.37
deit3_small_patch16_224,512,norm,0.0492,0.22
deit3_small_patch16_224,512,other,0.0000,0.00
deit3_small_patch16_224,512,attention_other,0.0000,0.00
deit3_small_patch16_224,512,head,0.0000,0.00
deit3_small_patch16_224,768,ffn_mlp,32.6291,65.61
deit3_small_patch16_224,768,attention_qkv,12.2359,24.60
deit3_small_patch16_224,768,attention_proj,4.0786,8.20
deit3_small_patch16_224,768,patch_embed,0.6795,1.37
deit3_small_patch16_224,768,norm,0.1106,0.22
deit3_small_patch16_224,768,other,0.0000,0.00
deit3_small_patch16_224,768,attention_other,0.0000,0.00
deit3_small_patch16_224,768,head,0.0000,0.00
deit3_small_patch16_224,1024,ffn_mlp,57.9962,65.61
deit3_small_patch16_224,1024,attention_qkv,21.7486,24.60
deit3_small_patch16_224,1024,attention_proj,7.2495,8.20
deit3_small_patch16_224,1024,patch_embed,1.2080,1.37
deit3_small_patch16_224,1024,norm,0.1967,0.22
deit3_small_patch16_224,1024,other,0.0000,0.00
deit3_small_patch16_224,1024,attention_other,0.0000,0.00
deit3_small_patch16_224,1024,head,0.0000,0.00
deit3_medium_patch16_224,64,ffn_mlp,0.4278,65.91
deit3_medium_patch16_224,64,attention_qkv,0.1604,24.72
deit3_medium_patch16_224,64,attention_proj,0.0535,8.24
deit3_medium_patch16_224,64,patch_embed,0.0063,0.97
deit3_medium_patch16_224,64,norm,0.0011,0.17
deit3_medium_patch16_224,64,other,0.0000,0.00
deit3_medium_patch16_224,64,attention_other,0.0000,0.00
deit3_medium_patch16_224,64,head,0.0000,0.00
deit3_medium_patch16_224,96,ffn_mlp,0.9311,65.89
deit3_medium_patch16_224,96,attention_qkv,0.3492,24.71
deit3_medium_patch16_224,96,attention_proj,0.1164,8.24
deit3_medium_patch16_224,96,patch_embed,0.0142,1.00
deit3_medium_patch16_224,96,norm,0.0024,0.17
deit3_medium_patch16_224,96,other,0.0000,0.00
deit3_medium_patch16_224,96,attention_other,0.0000,0.00
deit3_medium_patch16_224,96,head,0.0000,0.00
deit3_medium_patch16_224,128,ffn_mlp,1.6358,65.88
deit3_medium_patch16_224,128,attention_qkv,0.6134,24.70
deit3_medium_patch16_224,128,attention_proj,0.2045,8.23
deit3_medium_patch16_224,128,patch_embed,0.0252,1.01
deit3_medium_patch16_224,128,norm,0.0042,0.17
deit3_medium_patch16_224,128,other,0.0000,0.00
deit3_medium_patch16_224,128,attention_other,0.0000,0.00
deit3_medium_patch16_224,128,head,0.0000,0.00
deit3_medium_patch16_224,160,ffn_mlp,2.5417,65.88
deit3_medium_patch16_224,160,attention_qkv,0.9532,24.70
deit3_medium_patch16_224,160,attention_proj,0.3177,8.23
deit3_medium_patch16_224,160,patch_embed,0.0393,1.02
deit3_medium_patch16_224,160,norm,0.0065,0.17
deit3_medium_patch16_224,160,other,0.0000,0.00
deit3_medium_patch16_224,160,attention_other,0.0000,0.00
deit3_medium_patch16_224,160,head,0.0000,0.00
deit3_medium_patch16_224,224,ffn_mlp,4.9577,65.87
deit3_medium_patch16_224,224,attention_qkv,1.8591,24.70
deit3_medium_patch16_224,224,attention_proj,0.6197,8.23
deit3_medium_patch16_224,224,patch_embed,0.0771,1.02
deit3_medium_patch16_224,224,norm,0.0126,0.17
deit3_medium_patch16_224,224,other,0.0000,0.00
deit3_medium_patch16_224,224,attention_other,0.0000,0.00
deit3_medium_patch16_224,224,head,0.0000,0.00
